neighbourhood_name,year_planted,n
ARBUTUS-RIDGE,2016,51
ARBUTUS-RIDGE,2017,58
ARBUTUS-RIDGE,2018,57
ARBUTUS-RIDGE,2019,43
DOWNTOWN,2016,29
DOWNTOWN,2017,42
DOWNTOWN,2018,1
DOWNTOWN,2019,53
DUNBAR-SOUTHLANDS,2016,78
DUNBAR-SOUTHLANDS,2017,54
DUNBAR-SOUTHLANDS,2018,43
DUNBAR-SOUTHLANDS,2019,77
FAIRVIEW,2016,16
FAIRVIEW,2017,18
FAIRVIEW,2018,25
FAIRVIEW,2019,25
GRANDVIEW-WOODLAND,2016,42
GRANDVIEW-WOODLAND,2017,62
GRANDVIEW-WOODLAND,2018,39
GRANDVIEW-WOODLAND,2019,57
HASTINGS-SUNRISE,2016,166
HASTINGS-SUNRISE,2017,77
HASTINGS-SUNRISE,2018,132
HASTINGS-SUNRISE,2019,111
KENSINGTON-CEDAR COTTAGE,2016,187
KENSINGTON-CEDAR COTTAGE,2017,70
KENSINGTON-CEDAR COTTAGE,2018,23
KENSINGTON-CEDAR COTTAGE,2019,15
KERRISDALE,2016,49
KERRISDALE,2017,24
KERRISDALE,2018,31
KERRISDALE,2019,33
KILLARNEY,2016,74
KILLARNEY,2017,13
KILLARNEY,2018,83
KILLARNEY,2019,58
KITSILANO,2016,17
KITSILANO,2017,53
KITSILANO,2018,40
KITSILANO,2019,80
MARPOLE,2016,76
MARPOLE,2017,39
MARPOLE,2018,32
MARPOLE,2019,19
MOUNT PLEASANT,2016,57
MOUNT PLEASANT,2017,66
MOUNT PLEASANT,2018,12
MOUNT PLEASANT,2019,69
OAKRIDGE,2016,93
OAKRIDGE,2017,39
OAKRIDGE,2018,23
OAKRIDGE,2019,17
RENFREW-COLLINGWOOD,2016,151
RENFREW-COLLINGWOOD,2017,130
RENFREW-COLLINGWOOD,2018,90
RENFREW-COLLINGWOOD,2019,79
RILEY PARK,2016,20
RILEY PARK,2017,56
RILEY PARK,2018,41
RILEY PARK,2019,13
SHAUGHNESSY,2016,75
SHAUGHNESSY,2017,15
SHAUGHNESSY,2018,40
SHAUGHNESSY,2019,42
SOUTH CAMBIE,2016,53
SOUTH CAMBIE,2017,16
SOUTH CAMBIE,2018,11
SOUTH CAMBIE,2019,9
STRATHCONA,2016,22
STRATHCONA,2017,13
STRATHCONA,2018,9
STRATHCONA,2019,52
SUNSET,2016,163
SUNSET,2017,35
SUNSET,2018,13
SUNSET,2019,70
VICTORIA-FRASERVIEW,2016,87
VICTORIA-FRASERVIEW,2017,90
VICTORIA-FRASERVIEW,2018,61
VICTORIA-FRASERVIEW,2019,69
WEST END,2016,15
WEST END,2017,15
WEST END,2018,1
WEST END,2019,32
WEST POINT GREY,2016,28
WEST POINT GREY,2017,19
WEST POINT GREY,2018,45
WEST POINT GREY,2019,46
